               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12453,            0.047461,            0.030235,                   0,                   0,                   0,                   0,             0.11442,            0.043534,            0.029105,              0.0006,              0.0006,              0.0946
                   1,              0.1158,             0.05146,            0.028315,            0.005169,              0.1875,           0.0038972,            0.001085,             0.10496,            0.045654,            0.025393,           0.0012914,           0.0012914,            0.088291
                   2,             0.10506,            0.051786,            0.025263,            0.099457,             0.10556,            0.038159,           0.0056048,            0.096768,            0.046144,            0.021387,           0.0019736,           0.0019736,            0.081974
                   3,            0.097486,             0.05365,            0.022034,             0.19137,             0.34167,             0.15762,            0.040103,            0.089939,            0.043585,            0.018342,           0.0026465,           0.0026465,            0.075647
                   4,            0.089656,            0.054029,            0.018828,             0.30232,             0.16498,              0.1835,            0.044383,            0.085684,            0.044437,            0.013718,           0.0033102,           0.0033102,             0.06931
                   5,            0.086619,            0.053387,             0.01508,             0.69719,             0.18627,             0.16891,            0.034364,            0.092715,            0.048889,           0.0099024,           0.0039647,           0.0039647,            0.062965
                   6,            0.085517,            0.046063,            0.011863,             0.82082,            0.088235,             0.13466,             0.04624,             0.10221,            0.037149,            0.005963,           0.0046099,           0.0046099,             0.05661
                   7,            0.090966,            0.041314,           0.0093034,              0.1034,              0.3799,             0.11085,            0.034255,             0.10309,            0.029624,           0.0050118,           0.0052459,           0.0052459,            0.050246
                   8,            0.093141,            0.041353,           0.0082518,             0.43051,             0.38088,             0.30706,            0.050757,            0.089649,            0.028036,           0.0052276,           0.0058726,           0.0058726,            0.043873
                   9,            0.087927,            0.038381,           0.0075338,             0.18669,             0.42745,             0.20755,            0.050246,             0.10608,            0.026764,           0.0043703,           0.0064901,           0.0064901,             0.03749
                  10,            0.090489,            0.035546,           0.0068758,             0.31766,             0.26765,             0.23112,            0.075223,             0.10062,            0.026268,           0.0036437,           0.0070984,           0.0070984,            0.031098
                  11,            0.088556,            0.032466,           0.0059528,             0.42626,             0.31225,             0.32985,             0.11518,            0.088997,            0.024547,           0.0039172,           0.0076974,           0.0076974,            0.024697
                  12,            0.089665,            0.034515,           0.0059277,            0.064504,             0.42887,             0.10404,            0.018674,             0.10967,            0.026852,           0.0030577,           0.0082872,           0.0082872,            0.018287
                  13,             0.10158,            0.029764,           0.0051914,             0.74944,             0.04902,            0.065356,            0.029375,             0.10738,            0.018734,           0.0027325,           0.0088677,           0.0088677,            0.011868
                  14,            0.091198,            0.032339,           0.0053866,              0.5491,             0.51257,              0.3619,             0.11233,            0.086672,            0.023543,            0.002187,            0.009076,            0.009076,            0.009076
                  15,            0.085513,            0.031282,            0.004366,             0.33265,             0.26667,             0.21028,            0.043323,              0.0921,            0.024161,           0.0022192,            0.009076,            0.009076,            0.009076
                  16,            0.082522,            0.033955,           0.0052837,             0.34517,              0.5985,             0.34017,            0.066039,            0.090417,             0.02918,            0.001915,             0.00901,             0.00901,             0.00901
                  17,            0.074685,               0.034,           0.0044302,             0.39863,             0.66275,              0.5136,            0.087775,            0.078095,            0.029969,           0.0017196,            0.008944,            0.008944,            0.008944
                  18,            0.068908,            0.032936,           0.0039706,              0.4013,             0.82255,             0.38875,             0.12077,            0.085429,            0.047093,           0.0010845,            0.008878,            0.008878,            0.008878
                  19,            0.080258,            0.030898,           0.0035905,             0.47963,             0.95539,             0.61832,             0.17211,            0.094193,            0.028928,           0.0014713,            0.008812,            0.008812,            0.008812
                  20,             0.08081,            0.032051,           0.0041524,             0.60282,             0.42759,             0.52343,             0.10235,            0.083357,            0.027328,           0.0021299,            0.008746,            0.008746,            0.008746
                  21,            0.074328,            0.033985,           0.0052474,             0.31586,             0.77794,             0.36071,             0.10252,            0.080535,            0.024361,           0.0020886,             0.00868,             0.00868,             0.00868
                  22,            0.064507,            0.035129,           0.0055544,             0.29195,             0.98039,             0.35121,             0.11607,            0.065553,            0.029204,           0.0032874,            0.008614,            0.008614,            0.008614
                  23,            0.060994,            0.032159,           0.0057013,              0.4247,             0.82353,             0.59155,             0.13477,            0.080874,            0.030633,           0.0027388,            0.008548,            0.008548,            0.008548
                  24,            0.072262,             0.03262,           0.0053615,             0.18311,             0.81176,             0.18067,            0.041305,            0.074389,            0.027275,           0.0028761,            0.008482,            0.008482,            0.008482
                  25,            0.068373,            0.033213,           0.0052499,             0.54846,              0.7451,             0.62001,              0.3259,            0.062427,            0.023988,           0.0025581,            0.008416,            0.008416,            0.008416
                  26,            0.059807,            0.036114,           0.0042404,              0.5008,             0.82281,             0.55915,             0.21528,            0.060318,            0.023596,            0.002014,             0.00835,             0.00835,             0.00835
                  27,            0.052963,            0.032306,           0.0034131,             0.71504,             0.85322,             0.85896,             0.39572,            0.050916,            0.025026,           0.0015253,            0.008284,            0.008284,            0.008284
                  28,            0.054908,            0.031412,           0.0027993,             0.40534,             0.86176,             0.46944,            0.083584,              0.0612,            0.027228,           0.0012242,            0.008218,            0.008218,            0.008218
                  29,            0.056529,            0.033471,           0.0024626,             0.66154,             0.86716,             0.81431,             0.29562,            0.051571,            0.021826,           0.0012809,            0.008152,            0.008152,            0.008152
                  30,            0.050276,            0.031504,           0.0023402,              0.5846,             0.90085,             0.79236,             0.15791,            0.062396,             0.02717,           0.0011174,            0.008086,            0.008086,            0.008086
                  31,            0.055886,            0.027342,           0.0022716,             0.74166,              0.9009,             0.87679,             0.44813,            0.050988,             0.02125,           0.0014184,             0.00802,             0.00802,             0.00802
                  32,            0.051079,            0.027157,           0.0022391,             0.48337,             0.93578,             0.49705,              0.1491,            0.056411,            0.023876,           0.0013971,            0.007954,            0.007954,            0.007954
                  33,            0.054965,             0.02915,           0.0027421,             0.59503,             0.79755,             0.75769,             0.33611,            0.048938,            0.020867,           0.0015958,            0.007888,            0.007888,            0.007888
                  34,            0.045557,            0.028139,           0.0027989,             0.73744,             0.89764,             0.75381,             0.30921,            0.045411,            0.021332,            0.001624,            0.007822,            0.007822,            0.007822
                  35,            0.044344,            0.029659,           0.0025829,             0.90071,             0.93137,             0.93622,             0.50868,            0.040656,            0.020608,           0.0015573,            0.007756,            0.007756,            0.007756
                  36,            0.044505,            0.029355,           0.0024855,             0.75979,             0.94081,             0.78235,             0.37266,            0.044054,            0.020952,           0.0015872,             0.00769,             0.00769,             0.00769
                  37,            0.047617,            0.027692,           0.0024336,             0.59941,             0.96078,             0.68215,             0.28658,            0.039337,              0.0211,           0.0015711,            0.007624,            0.007624,            0.007624
                  38,            0.039669,            0.029521,            0.002672,             0.68743,             0.92988,             0.87438,             0.35436,            0.035188,            0.019972,            0.001405,            0.007558,            0.007558,            0.007558
                  39,            0.045716,            0.029852,           0.0022175,             0.95544,             0.92066,             0.96716,             0.59881,            0.033921,             0.01873,           0.0013783,            0.007492,            0.007492,            0.007492
                  40,            0.045527,            0.027605,           0.0021927,             0.78286,             0.84623,             0.88461,             0.22004,            0.048312,            0.021063,           0.0014314,            0.007426,            0.007426,            0.007426
                  41,             0.04832,            0.029264,            0.001925,             0.65608,             0.82345,             0.71381,             0.40341,            0.054404,            0.019774,           0.0013946,             0.00736,             0.00736,             0.00736
                  42,            0.053069,            0.027811,           0.0020423,             0.93055,             0.76471,             0.87712,             0.52237,            0.039791,            0.018497,           0.0016163,            0.007294,            0.007294,            0.007294
                  43,            0.041908,            0.030484,           0.0020228,             0.77409,             0.95067,             0.88362,             0.49619,            0.033871,            0.018568,             0.00159,            0.007228,            0.007228,            0.007228
                  44,            0.039511,             0.02928,           0.0017677,             0.87405,             0.95098,             0.92892,             0.42222,            0.037988,            0.019062,           0.0015251,            0.007162,            0.007162,            0.007162
                  45,            0.042152,            0.027107,           0.0016596,             0.96476,             0.98039,             0.98022,              0.5202,            0.031741,            0.018434,           0.0014214,            0.007096,            0.007096,            0.007096
                  46,            0.033509,            0.025521,           0.0017867,             0.97193,             0.98029,             0.98096,             0.47486,            0.033188,            0.019043,           0.0013758,             0.00703,             0.00703,             0.00703
                  47,            0.033008,             0.02357,           0.0018056,             0.76448,             0.91852,             0.84889,             0.32972,            0.044193,            0.019308,            0.001348,            0.006964,            0.006964,            0.006964
                  48,            0.042188,            0.026328,           0.0018915,             0.73094,             0.97008,              0.8637,             0.43707,            0.035137,              0.0181,           0.0014524,            0.006898,            0.006898,            0.006898
                  49,            0.039768,            0.026857,           0.0020232,             0.90808,             0.95047,             0.96825,             0.38104,            0.035891,            0.018837,           0.0015075,            0.006832,            0.006832,            0.006832
                  50,            0.038017,            0.025259,           0.0020837,               0.739,             0.90196,             0.87241,             0.43286,            0.037571,            0.018673,           0.0016151,            0.006766,            0.006766,            0.006766
                  51,            0.034788,            0.026096,           0.0021282,             0.97798,             0.97059,             0.97667,              0.5249,            0.037549,            0.018503,            0.001554,              0.0067,              0.0067,              0.0067
                  52,            0.042537,            0.026174,           0.0021682,             0.95739,             0.97059,             0.95514,             0.34605,            0.043474,            0.018379,            0.001642,            0.006634,            0.006634,            0.006634
                  53,            0.046849,            0.027236,           0.0022346,             0.78619,             0.98039,             0.85922,             0.49645,            0.033109,            0.018164,           0.0019116,            0.006568,            0.006568,            0.006568
                  54,            0.034065,            0.027575,           0.0023237,             0.97973,             0.98035,             0.97962,             0.67408,            0.027672,            0.017259,           0.0017457,            0.006502,            0.006502,            0.006502
                  55,            0.030114,            0.024731,           0.0019815,             0.96503,             0.98019,             0.97861,              0.6133,            0.029998,             0.01751,           0.0015707,            0.006436,            0.006436,            0.006436
                  56,            0.037225,            0.022376,           0.0018102,             0.96104,             0.98039,             0.97386,             0.51041,            0.038143,             0.01791,           0.0015043,             0.00637,             0.00637,             0.00637
                  57,             0.04015,            0.023833,            0.001731,              0.9075,             0.98039,             0.97113,             0.55888,            0.033626,            0.017701,           0.0014932,            0.006304,            0.006304,            0.006304
                  58,            0.034061,            0.025105,           0.0018863,             0.98231,             0.98018,             0.97706,             0.63502,            0.027362,             0.01723,           0.0014766,            0.006238,            0.006238,            0.006238
                  59,            0.027546,            0.021046,           0.0016828,             0.98964,             0.98039,             0.97891,             0.70074,            0.026196,            0.016613,            0.001385,            0.006172,            0.006172,            0.006172
                  60,            0.032702,            0.023293,           0.0015495,             0.79638,             0.98039,             0.92724,              0.4865,            0.033347,            0.017343,           0.0013918,            0.006106,            0.006106,            0.006106
                  61,            0.038572,            0.023976,           0.0014786,             0.91133,             0.98039,             0.92399,             0.47691,            0.039688,            0.017377,           0.0013688,             0.00604,             0.00604,             0.00604
                  62,            0.038966,            0.024574,            0.001476,             0.94549,             0.98037,             0.95599,             0.59314,            0.029369,            0.016931,           0.0015987,            0.005974,            0.005974,            0.005974
                  63,            0.030116,            0.023098,           0.0017253,             0.98725,             0.98036,             0.97892,             0.61787,            0.027229,            0.016224,           0.0014181,            0.005908,            0.005908,            0.005908
                  64,            0.034437,            0.024033,           0.0015888,             0.98485,             0.98041,             0.98324,             0.57556,            0.031843,            0.017062,           0.0015001,            0.005842,            0.005842,            0.005842
                  65,            0.039139,            0.024267,           0.0016597,             0.98543,             0.98039,             0.97714,             0.47938,            0.035358,            0.016895,           0.0015215,            0.005776,            0.005776,            0.005776
                  66,            0.037236,            0.025709,           0.0016223,             0.97019,             0.98033,             0.97205,             0.53925,            0.032612,            0.017324,           0.0017067,             0.00571,             0.00571,             0.00571
                  67,            0.030028,            0.024518,           0.0019595,             0.98657,             0.98039,             0.97875,             0.72769,            0.024217,            0.016102,           0.0016103,            0.005644,            0.005644,            0.005644
                  68,            0.028917,            0.024889,           0.0016712,              0.9868,             0.98039,             0.97553,              0.6645,            0.026526,            0.016696,           0.0015934,            0.005578,            0.005578,            0.005578
                  69,            0.029905,            0.024664,           0.0015392,             0.98665,             0.98039,             0.97802,             0.68212,            0.028159,            0.016459,           0.0015481,            0.005512,            0.005512,            0.005512
                  70,            0.028825,            0.024179,           0.0016639,             0.96956,             0.98039,             0.97474,             0.65706,            0.027843,            0.016648,            0.001484,            0.005446,            0.005446,            0.005446
                  71,            0.027028,            0.024335,           0.0015371,             0.97839,             0.98039,             0.97475,             0.65489,            0.028409,            0.016609,            0.001413,             0.00538,             0.00538,             0.00538
                  72,            0.034922,            0.024088,           0.0013562,             0.98848,             0.98039,             0.97824,             0.57802,            0.034883,            0.016909,           0.0012729,            0.005314,            0.005314,            0.005314
                  73,            0.038636,            0.023383,           0.0015586,             0.97919,             0.98038,             0.97635,             0.63992,            0.028233,            0.017581,           0.0013077,            0.005248,            0.005248,            0.005248
                  74,            0.028342,               0.024,           0.0014976,             0.98866,             0.98039,             0.98012,             0.58556,            0.029136,            0.016263,           0.0011955,            0.005182,            0.005182,            0.005182
                  75,            0.029225,              0.0223,           0.0012693,             0.98935,             0.98039,             0.98477,             0.63328,            0.026167,            0.015779,           0.0011992,            0.005116,            0.005116,            0.005116
                  76,            0.031175,            0.021637,           0.0013135,             0.98775,             0.97049,             0.98513,             0.65815,            0.027884,            0.015906,           0.0012707,             0.00505,             0.00505,             0.00505
                  77,            0.034679,              0.0223,           0.0013438,             0.98656,             0.98039,             0.98427,             0.50894,              0.0324,             0.01632,            0.001316,            0.004984,            0.004984,            0.004984
                  78,            0.032815,            0.024681,            0.001319,             0.96642,             0.97048,             0.97219,             0.52792,            0.032661,            0.016395,           0.0014087,            0.004918,            0.004918,            0.004918
                  79,            0.028187,            0.022669,           0.0014368,             0.98832,             0.98039,             0.98516,             0.73209,            0.021811,            0.015076,             0.00135,            0.004852,            0.004852,            0.004852
                  80,            0.026783,            0.024228,           0.0013178,             0.97794,             0.97059,              0.9805,             0.75374,            0.021401,            0.014973,           0.0013373,            0.004786,            0.004786,            0.004786
                  81,            0.026016,             0.02405,           0.0013049,             0.98719,             0.98039,             0.98399,             0.67264,            0.024787,              0.0152,           0.0013244,             0.00472,             0.00472,             0.00472
