               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10537,            0.090316,            0.038004,            0.095657,             0.35944,             0.12491,            0.028797,            0.084624,            0.059697,            0.029282,              0.0023,              0.0023,              0.0793
                   1,            0.081401,            0.083935,            0.025798,              0.1171,               0.582,             0.17144,            0.036099,            0.087857,             0.05437,            0.020838,           0.0046535,           0.0046535,            0.057653
                   2,            0.093969,            0.060645,            0.021577,             0.17743,             0.56941,             0.24968,            0.058654,            0.090936,            0.038524,            0.014996,           0.0069594,           0.0069594,            0.035959
                   3,              0.0917,            0.057713,            0.019271,             0.68125,              0.2274,             0.19882,            0.032452,            0.096351,             0.02895,            0.012134,           0.0092178,           0.0092178,            0.014218
                   4,            0.088039,            0.054107,            0.015102,              0.3162,             0.72605,             0.35504,             0.10305,            0.084648,            0.040039,           0.0096466,            0.009604,            0.009604,            0.009604
                   5,            0.077741,            0.055595,            0.014103,             0.49098,             0.84257,              0.6001,             0.13094,            0.074013,             0.04036,           0.0085772,            0.009604,            0.009604,            0.009604
                   6,            0.068857,             0.05632,            0.012027,              0.5257,             0.72248,             0.66464,             0.17751,            0.062402,            0.037255,           0.0079088,            0.009505,            0.009505,            0.009505
                   7,            0.062916,            0.056259,            0.010616,             0.60101,             0.81057,             0.81678,             0.30063,            0.053601,             0.03162,           0.0068783,            0.009406,            0.009406,            0.009406
                   8,            0.055135,            0.051064,           0.0089506,              0.6167,             0.81327,             0.78771,             0.25562,            0.052387,            0.031784,           0.0059677,            0.009307,            0.009307,            0.009307
                   9,            0.054923,            0.052133,           0.0084306,             0.87324,             0.85795,             0.89746,             0.56601,            0.033172,            0.027317,            0.005864,            0.009208,            0.009208,            0.009208
                  10,            0.048467,            0.049608,            0.007146,             0.84839,             0.77635,             0.86147,             0.46181,            0.036324,             0.03102,           0.0053175,            0.009109,            0.009109,            0.009109
                  11,            0.045244,             0.05065,            0.006692,             0.88063,             0.79636,             0.91973,             0.51563,            0.033533,            0.026915,           0.0042636,             0.00901,             0.00901,             0.00901
                  12,            0.041422,            0.044624,           0.0065948,             0.80652,             0.77754,             0.86169,             0.59196,             0.02907,            0.028438,           0.0045134,            0.008911,            0.008911,            0.008911
                  13,            0.039259,            0.049403,           0.0063865,             0.87541,             0.95194,             0.94816,             0.64597,            0.028489,            0.025223,            0.004416,            0.008812,            0.008812,            0.008812
                  14,            0.040494,            0.047717,           0.0055401,             0.78872,             0.96577,             0.91846,             0.60891,            0.027922,            0.025801,           0.0040428,            0.008713,            0.008713,            0.008713
                  15,            0.034965,            0.046102,           0.0053877,             0.84092,             0.87136,              0.9197,             0.54733,            0.027835,            0.025308,           0.0038296,            0.008614,            0.008614,            0.008614
                  16,            0.035572,            0.044316,           0.0048874,             0.89034,             0.94908,             0.95037,             0.63171,            0.025744,            0.025126,           0.0042023,            0.008515,            0.008515,            0.008515
                  17,            0.032881,            0.043254,           0.0048553,             0.96864,             0.94905,             0.95022,              0.6535,            0.028925,            0.026518,           0.0039448,            0.008416,            0.008416,            0.008416
                  18,            0.033065,            0.043075,           0.0048952,             0.98058,             0.93245,             0.94723,             0.65227,            0.022023,            0.024009,           0.0035814,            0.008317,            0.008317,            0.008317
                  19,            0.029531,            0.042336,           0.0042752,             0.97899,             0.93527,             0.94564,              0.7339,            0.021047,            0.024718,           0.0038919,            0.008218,            0.008218,            0.008218
                  20,            0.031291,            0.043527,           0.0045758,             0.93034,             0.95194,             0.94554,             0.65421,            0.025197,            0.023096,           0.0043123,            0.008119,            0.008119,            0.008119
                  21,            0.031929,            0.042215,           0.0046331,             0.97605,             0.93527,             0.94873,             0.68974,            0.021891,            0.022605,           0.0037842,             0.00802,             0.00802,             0.00802
                  22,            0.030769,            0.042941,           0.0040527,             0.97603,             0.93342,             0.94887,              0.7501,             0.01908,            0.022901,           0.0036075,            0.007921,            0.007921,            0.007921
                  23,            0.025997,            0.040945,           0.0039705,             0.95984,             0.93521,             0.94779,             0.74652,            0.020473,             0.02429,           0.0037628,            0.007822,            0.007822,            0.007822
                  24,             0.02686,            0.039191,            0.003603,             0.93919,             0.95171,             0.94928,             0.72762,            0.020937,            0.022856,           0.0041844,            0.007723,            0.007723,            0.007723
                  25,            0.027099,            0.041232,           0.0036871,             0.96889,             0.94868,             0.94713,             0.70279,            0.022992,            0.023559,           0.0031777,            0.007624,            0.007624,            0.007624
                  26,            0.025824,            0.038869,           0.0036349,             0.96552,             0.95142,              0.9437,             0.74076,            0.019952,            0.022098,           0.0033745,            0.007525,            0.007525,            0.007525
                  27,            0.027153,            0.039114,           0.0035087,             0.96255,             0.93526,             0.94675,             0.70462,            0.023429,            0.023788,           0.0038561,            0.007426,            0.007426,            0.007426
                  28,            0.027959,            0.040449,           0.0035119,             0.96451,             0.93527,             0.94666,             0.75888,            0.017567,            0.021748,           0.0033956,            0.007327,            0.007327,            0.007327
                  29,            0.026899,             0.03729,           0.0035371,             0.94002,             0.95194,             0.94872,             0.77868,            0.018829,            0.021872,           0.0037434,            0.007228,            0.007228,            0.007228
                  30,            0.025378,            0.037913,           0.0035273,             0.98349,             0.93399,             0.94375,             0.75313,            0.019777,            0.021854,           0.0033505,            0.007129,            0.007129,            0.007129
                  31,            0.025908,             0.03768,              0.0036,             0.97191,             0.95104,             0.94635,             0.75872,            0.020713,            0.023113,           0.0033233,             0.00703,             0.00703,             0.00703
